,Timestamp,"Кафедра, на якій ви навчалися",Рік закінчення КПІ,"Найвищий рівень освіти, що ви отримали в КПІ",Чи обрали б ви КПІ знову?,Який найвищий рівень освіти ви б порадили собі отримати,Чому ви б зробили саме такий вибір?,Що ви хотіли отримати від навчання?,Чи влаштовує вас рівень наукової діяльності в КПІ?,Чи забезпечував вас університет всім необхідним для навчання?,Чи задоволені ви спілкуванням зі своїми викладачами?,Які дисципліни виявилися для вас найбільш корисними? Чому?,Ви задоволені практикою?,Практика відповідала спеціальності?,Проходили практику на підприємстві чи на кафедрі?,Ви дійсно проходили практику чи просто написали звіт?,Чи була практика корисною для вас?,Що б ви змінили в практиці?,Коли ви почали працювати?,На якому курсі ви почали працювати?,Ви одразу працювали за спеціальністю?,"Чи подобається вам галузь, в якій ви працюєте?",Чи працюєте ви за спеціальністю?,В якій компанії ви працюєте?,Галузь компанії,Кількість працівників,На якій посаді ви працюєте?,"Чи достатньо знань та навичок, отриманих в університеті, щоб знайти роботу?","Чи були актуальними знання, отримані в університеті, на момент закінчення?",Чи вважаєте ви перспективною отриману спеціальність?,"Чи стикалися ви з ситуацією, коли наявність диплому була вирішальною для отримання роботи?",Наявність якого диплому була важливою?,"Передайте привіт студентам, випускникам та викладачам КПІ",Що б ви змінили в цьому опитуванні?
10,2017/02/27 10:42:33 AM GMT+3,ОТ,2016,Бакалавр,"Навчатися там, де я навчався",Бакалавр,"Класна студентська спільнота, більшість жахливих викладачів і дрібка шикарних (більшість з них звільнилися, на жаль)","знання для того, щоб займатися наукою;знання для використання на роботі",Повністю не влаштовує,Частково забезпечував,,,,Так,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Так,,Під час навчання,3.0,Так,Так,Так,ДП Мелексіс-Україна,Виробництво,81-200,Associate Test Method and Tools Developer,"Не зовсім, але знання, отримані в університеті дуже допомогли","Ні, зараз немає роботи, де можна було б їх використати","Ні, вже зараз майже неможливо знайти роботу","Наявність диплому була перевагою, але не вирішальною",Диплому бакалавра,"Вчитися самостійно і опановувати більше, ніж одну галузь. Часи різкої диференціації праці минули, потрібні спеціалісти на межі двох, а то і більше галузей","Додати в усі питання про задоволеність тим чи іншим пункт ""Повністю/категорично не задоволений"" ;)"
11,2017/02/27 10:58:00 AM GMT+3,ОВПК,2017,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Магістр або спеціаліст,"У 16 років важко точно зрозуміти, чого хочеш. Пізніше зрозуміла, що цікавіше було б вчитися на іншій спеціальності",знання для використання на роботі;можливість жити в гуртожитку,Скоріше влаштовує,Повністю забезпечував,Скоріше задоволений,"Економічні , фахові","Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Важко відповісти,"Обов'язки, що на мене поклали на підприємстві",Під час навчання,3.0,Ні,Так,"Ні, працюю в іншій галузі",НАДС,Юриспруденція,81-200,Головний спеціаліст,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні",Так,Диплому магістра,Привіт-привіт :),Та все ок :)
12,2017/02/27 11:22:47 AM GMT+3,АПЕПС,2009,Магістр або спеціаліст,"Навчатися там, де я навчався",Кандидатський чи докторський ступінь,,знання для використання на роботі,Скоріше влаштовує,Частково забезпечував,Скоріше задоволений,,,Ні,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Ні,,Під час навчання,4.0,Ні,Так,Так,Wargaming,IT,Більше 800,Senior Software Engineer,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, потреба в спеціалістах зростає",Ні,,,
13,2017/02/27 11:24:02 AM GMT+3,АСОІУ,2017,Магістр або спеціаліст,"Навчатися там, де я навчався",Бакалавр,"Якість викладання на 5 курсі різко погіршується. Краще закінчити магістратуру в якомусь іноземному вузі, або взагаалі зупинитись на бакалавраті- для пошуку роботи мені цього виявилось досить",знання для використання на роботі,Скоріше не влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні","Ті, де були цікаві викладачі. Якщо викладач не вмів подати свій предмет, то це перетворювалось н апросиджування штанів. Не залежно від самого курсу

Теорія алгоритмів - Молчановський
Бази даних - Попенко
Основи веб-розробки - Павлюченко
Матаналіз - Орловський",Скоріше задоволений,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Так,,Під час навчання,4.0,Так,Так,Так,3 Shape,IT,81-200,Automation QA,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, потреба в спеціалістах зростає",Ні,,"студентам - Насолоджуйтесь молодістю та всіма можливостями, які дарує вам доля та навчання в КПІ! Для мене КПІ завжди був місцем збору цікавих та розумних людей. В дорослому житті саме таких людей мені бракує найбільше","додати питання про позанавчальні заходи - квести, мафії і тд"
14,2017/02/27 11:27:19 AM GMT+3,ХПСМ,2015,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Магістр або спеціаліст,,відстрочку від армії,Скоріше не влаштовує,Повністю забезпечував,Скоріше задоволений,,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Ні,,Одразу після закінчення університету,,Ні,Так,"Ні, працюю в іншій галузі",SoftServe,IT,Більше 800,Automation QA Engineer,"Ні, все, що треба для роботи, довелося вивчати самостійно","Ні, зараз немає роботи, де можна було б їх використати","Ні, вже зараз майже неможливо знайти роботу",Ні,,,
15,2017/02/27 11:49:11 AM GMT+3,БМІ,2017,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,Найкращий університет України.  Студмістеско. Великі можливості.,знання для використання на роботі;диплом - формальне підтвердження знань;можливість жити в гуртожитку,Скоріше не влаштовує,Частково забезпечував,Скоріше задоволений,,,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,Спрямованість на підприємства.  Більше співпраці з реальними компаніями.,Під час навчання,2.0,Ні,Так,,Treston Capital,Консалтинг,До 20,Менеджер,"Ні, все, що треба для роботи, довелося вивчати самостійно","Ні, зараз немає роботи, де можна було б їх використати","Так, потреба в спеціалістах зростає",Ні,,,
16,2017/02/27 11:57:59 AM GMT+3,ПМА,2016,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Магістр або спеціаліст,,"знання для того, щоб займатися наукою;знання для використання на роботі;можливість жити в гуртожитку","Щось влаштовує, щось ні",Частково забезпечував,Скоріше задоволений,"Бази даних - дисципліна навчила мене будувати складні цілісні системи
Керування проектами - дисципліна покращила моє розуміння психології та поведінки людей, а також, відносини між підопічними/керівником/замовником. Це дозволило мені швидко вирости до лідера команди.",,Так,"На кафедрі, писав диплом","На практиці писав диплом, як звіт здав розділ диплому",Так,"Запровадив паузу в навчальному процесі (думаю на рік достатньо), щоб відправити студентів а роботу по спеціальності, після чого нехай студент закінчить навчання. Від такої практики була б користь.",Під час навчання,5.0,Так,Так,Так,GlobalLogic,IT,Більше 800,C++ developer,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні","Наявність диплому була перевагою, але не вирішальною",Диплому бакалавра,"Студенти, перестаньте протирати штани на лекціях, чи на поляні. Виберіть один цікавий собі напрям/галузь/технологію і поглиблено вивчайте самостійно. Університет дасть лише базу, яка після зацінчення дуже швидко зведеться лише до загальної грамотності на вміння навчатися/шукати інформацію (що також важливо), але хорошим та конкурентним спеціалістом вас може зробити лише ви самі.

Викладачі, викиньте методички 30-тиліньої давності та перестаньте навчати студентів технологій, які застаріли ще до їхнього народження.",Опитування чудове - так тримати.
17,2017/02/27 12:10:19 PM GMT+3,Менеджмент,2015,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Магістр або спеціаліст,"Навчання на ФММ за напрямом ""менеджмент""здавалось перспективним напрямом та якісною основою для подальшої роботи у галузі бізнес адміністрування, розвитку підприємництва, тощо. Але на практиці це зовсім не відповідає дійсності. За якістю програми, подачі інформації та вимог до студентів кафедра менеджменту значною мірою відстає, якщо порівняти з іншими кафедрами ФММ.","знання для того, щоб займатися наукою;знання для використання на роботі;диплом - формальне підтвердження знань",Повністю не влаштовує,Частково забезпечував,,"1) Інформаційні технології (Викладач - О. Стець);
2) ЗЕД ( Викладач - А. Дунська);
3) Фінанси підприємста - (Викладачі: Кармазін, Савицька).",Важко відповісти,Ні,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Ні,"У нашого університету є величезний потенціал і практику можна налагодити з міжнародними компаніями. Як співробітник однієї з них, я можу сказати, що є необхідність у активних студентах є, але через бюрократичні захади діяльності НТУУ""КПІ"" взяти студентів на реальну практику дуже складно. Шляхи покращення:
1) Співпраця з компаніями+програмами стажування (тобто зарахування їх як практики)
2) Відміна необхідності компаніям надавати звіти про фінансову діяльність та інше. Це може бути звіти за минулі періоди, тощо. Оскільки, поточна звітність є конфіденційної, ВСІ студденти змушені її вигадувати! Ну кому таке потрібно? Результатом мають бути знання та вміння розрахувати, а не позитивний баланс дослідного підприємства у додатку до димломної роботи.",Під час навчання,5.0,Так,Ні,Так,Міжнародна компанія,Юриспруденція,21-80,Policy Officer (Менеджер з питань стратегічного розвитку),"Ні, все, що треба для роботи, довелося вивчати самостійно","Ні, зараз немає роботи, де можна було б їх використати","Так, такі спеціалісти завжди будуть потрібні",Ні,,"Я дуже поважую наш університет, якому треба бути відткритим до змін - вдосконалюватись, відходити від бюрократії та розвитати таланти, а не вирівнювати всіх студентів. На практиці наш КПІ закритий до співпраці, ми вже в цьому переконались. Але потенціал є, так само як і є надія на те, що наші діти будуть вчитись у дійсно інноваційному та сучасному закладі.","Дякую за можливість висловитись. Просто додавши поле для коментарів після кожного питання, можна отримати багато практичних порад, що в подальшому можуть бути використані для покращення діяльності НТУУ ""КПІ""."
18,2017/02/27 12:14:49 PM GMT+3,ОВПК,2017,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,В КПІ навчалось багато моїх друзів.,знання для використання на роботі;диплом - формальне підтвердження знань,Скоріше влаштовує,Частково забезпечував,Повністю задоволений,,Скоріше задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Під час навчання,4.0,Так,Так,Так,"ТОВ ""БВИ-ПРИНТ""",Виробництво,21-80,менеджер,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні",Ні,,,
19,2017/02/27 12:24:03 PM GMT+3,ФБМЕ,2008,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,,"знання для того, щоб займатися наукою;знання для використання на роботі","Щось влаштовує, щось ні",Частково забезпечував,Скоріше задоволений,,Скоріше задоволений,Так,"На кафедрі, писав диплом","На практиці писав диплом, як звіт здав розділ диплому",Так,,Одразу після закінчення університету,,Так,Так,"Ні, працюю в іншій галузі",,IT,201-800,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Ні, потреба в спеціалістах зменшується",Ні,,,
20,2017/02/27 12:37:25 PM GMT+3,КІВРА,2011,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Магістр або спеціаліст,,"знання для того, щоб займатися наукою;знання для використання на роботі",Скоріше не влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні",,,Так,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Ні,,Одразу після закінчення університету,,Так,Так,Так,,Медицина,21-80,,"Так, але краще займатися додатково, щоб отримати більше можливостей","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні","Наявність диплому була перевагою, але не вирішальною",Диплому спеціаліста,Привіт всім,
21,2017/02/27 12:53:56 PM GMT+3,ФПМ,2016,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,,знання для використання на роботі;відстрочку від армії;можливість жити в гуртожитку,Скоріше не влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні","Базы данных, по работе пригождается.",,Так,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Ні,,Під час навчання,5.0,Ні,Так,,,IT,21-80,fullstack web developer,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні",Ні,,"Таня, привет)","Там гдет был вариант про то, что знание универа ОЧЕНЬ пригодились на работе, но что-т пришлось учить самому. Надо ОЧЕНЬ поменять на НЕМНОГО или добавить кще один вариант ответа. И добавить вопросы худшие/лучшие преподы, офк)"
22,2017/02/27 12:55:40 PM GMT+3,менеджменту,2017,Магістр або спеціаліст,Навчатися в іншому ВНЗ,Магістр або спеціаліст,жахливий курс іноземних мов,знання для використання на роботі,Скоріше влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні","ВЕД, макроекономіка, менеджмент",,Ні,"На підприємстві, знайшов сам","На практиці писав диплом, як звіт здав розділ диплому",Важко відповісти,дійно б проходив її,Під час навчання,4.0,Так,Так,Так,BEN LLC,Маркетинг,До 20,менеджер ВЕД,"Так, але краще займатися додатково, щоб отримати більше можливостей","Скоріше ні, але теоретична база актуальна","Так, потреба в спеціалістах зростає",Ні,,,
23,2017/02/27 1:08:19 PM GMT+3,МАПВ,2016,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Кандидатський чи докторський ступінь,,"знання для того, щоб займатися наукою;знання для використання на роботі;відстрочку від армії",Скоріше не влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні",Опір матеріалів; Нарисна геометрія; Логіка,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Під час навчання,2.0,Ні,Важко відповісти,"Ні, працюю в іншій галузі",,Виробництво,До 20,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Ні, потреба в спеціалістах зменшується",Ні,,,
24,2017/02/27 1:08:47 PM GMT+3,КТППФМ,2007,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,,знання для використання на роботі,"Щось влаштовує, щось ні",Частково забезпечував,"Чимось задоволений, чимось ні",,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Ні,,Під час навчання,4.0,Ні,Так,"Ні, працюю в іншій галузі",SoftServe,IT,Більше 800,QA Engineer,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні",Так,Диплому спеціаліста,,
25,2017/02/27 1:22:22 PM GMT+3,ПЗКС,2015,Бакалавр,"Навчатися там, де я навчався",Бакалавр,"Магістратура не дає знань по спеціальності. загалом тільки повторення того, що було на перших курсах. тільки заважає отриманню знань постійними контрольними і екзаменами. мої якраз закінчують магістратуру. 4 людини. всі шкодують, що пішли, але вже диплом і просто чекають кінця.","знання для того, щоб займатися наукою",Скоріше влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні",не пам'ятаю назв. взагалі до цього питання не вистачає списку дисциплін.,,Ні,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Ні,"відправляв б на великі IT підприємства. а то частина людей проходила в геоцентрі. звелось до того, що ці люди мали знань більше, ніж люди з геоцентру. інших взагалі відправили на практику в приймальну комісію. жах. і це практика по програмуванні. найкращий варіант було самому знайти практику",Під час навчання,2.0,Так,Так,Так,,IT,201-800,Senior Python Developer,"Так, перед співбесідою лише повторив пройдене в університеті","Скоріше ні, але теоретична база актуальна","Так, потреба в спеціалістах зростає",Ні,,не йти на магістратуру,
26,2017/02/27 1:23:22 PM GMT+3,ФБМЕ,2016,Бакалавр,"Навчатися там, де я навчався",Магістр або спеціаліст,"Все произошло, как должно было",знання для використання на роботі;диплом - формальне підтвердження знань,Скоріше не влаштовує,Частково забезпечував,Скоріше задоволений,,,Так,"На підприємстві, знайшов університет","На практиці писав диплом, як звіт здав розділ диплому",Ні,более направленная на специальность,Працював до вступу в університет,,Ні,Так,"Ні, працюю в іншій галузі",,IT,До 20,,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Так, потреба в спеціалістах зростає",Ні,,"Хочу посоветовать студентам КПИ, учитесь сами, идите к своей целе, универ даст только диплом!",Все хорошо и по сути)
27,2017/02/27 1:26:19 PM GMT+3,МАХНВ,2016,Бакалавр,"Навчатися в КПІ, але за іншим напрямом",Бакалавр,,знання для використання на роботі;диплом - формальне підтвердження знань;відстрочку від армії;можливість жити в гуртожитку,Повністю не влаштовує,Не забезпечував,,,,Ні,"На кафедрі, писав диплом","На практиці писав диплом, як звіт здав розділ диплому",Ні,,Під час навчання,2.0,Ні,Важко відповісти,"Ні, працюю в іншій галузі",,IT,21-80,,"Ні, все, що треба для роботи, довелося вивчати самостійно","Ні, зараз немає роботи, де можна було б їх використати","Ні, потреба в спеціалістах зменшується",Ні,,,
