,Отметка времени,Чому ви обрали саме КПІ?,Чи відповідає дійсність очікуванням,Ви одразу вступили до КПІ чи перевилися з іншого ВНЗ?,На якому курсі це відбулося?,Що ви хочете отримати від навчання?,Чи обрали б ви КПІ знову?,Чи задоволені ви спілкуванням з іншими студентами?,Чи задоволені ви спілкуванням зі своїми викладачами?,Чи влаштовує вас рівень наукової діяльності в КПІ?,Чи забезпечує вас університет всім необхідним для навчання?,Чого саме не вистачає?,У вас була виробнича/переддипломна практика,Ви задоволені практикою?,Практика відповідала спеціальності?,Проходили практику на підприємстві чи на кафедрі?,Ви дійсно проходили практику чи просто написали звіт?,Чи була практика корисною для вас?,Що б ви змінили в практиці?,Чи плануєте ви працювати за спеціальністю?,Чи працюєте/працювали ви під час навчання?,На якому курсі ви почали працювати?,В якій компанії ви працюєте?,Галузь компанії:,Кількість працівників:,На якій посаді ви працюєте?,"Передайте привіт студентам, випускникам та викладачам КПІ",Щоб ви змінили в цьому опитуванні?
10,27.02.2017 1:10:06,Тому ще це найкращий ВНЗ нашої країни!),В цілому відповідає,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,Важко відповісти,Повністю забезпечує,,Ні,,,,,,,Так,Ні,,,,,,"Вступайте на Кібербезпеку, адже це досить цікава дисципліна. На ФТІ вас цьому справді навчать.","Я б хотів, щоб була можливість повернутися до попереднього питання"
11,27.02.2017 1:12:41,Бажала вчитися в Києві.,Так,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,Повністю влаштовує,Частково забезпечує,"Комп'ютерні класи, програмне забезпечення. Наразі в нас навіть власного корпусу немає, бо закрили восьмий. А також хотілося б отримувати якісь фірмові кпішні речі, типу футболку чи толстовку.",Ні,,,,,,,Так,"Так, не за спеціальністю",2.0,,Торгівля,До 20,Промоутер,,Мене все влаштовує
12,27.02.2017 1:13:08,Самое лучшее комьюнити,да,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,"Багато чого, але це дрібниці",Так,Скоріше задоволений,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Так,,"Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",4.0,КПІ ім. Сікорського,Адміністрація,Більше 800,технік,Ніколи не здавайся,Цікаво
13,27.02.2017 1:15:23,Тому що це один з кращих вузів країни,"Ні, більшість розчарувало.  Але деякі предмети і викладачі викладаються якісно",Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою",Важко відповісти,Скоріше задоволений,"Чимось задоволений, чимось ні",Скоріше не влаштовує,Частково забезпечує,"Лабораторного обладнання, реактиви.",Так,Важко відповісти,Так,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Ні,Практика має проходити на виробничих підприємствах,"Ні, але планую працювати в тій самій галузі","Так, за спеціальністю",4.0,,Виробництво,201-800,Хімік,,
14,27.02.2017 1:17:56,,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,"Чимось задоволений, чимось ні",Скоріше не влаштовує,Частково забезпечує,,Так,"Чимось задоволений, чимось ні",Так,"На кафедрі, писав диплом","На практиці писав диплом, як звіт здав розділ диплому",Важко відповісти,,"Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",4.0,ZEO Alliance,IT,201-800,.Net developer,,
15,27.02.2017 1:22:19,,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,Повністю задоволений,Скоріше не влаштовує,Не забезпечує,Нової техніки,Ні,,,,,,,Так,Ні,,,,,,,
16,27.02.2017 1:28:13,Хотіла навчатись саме в кпі!,Нормально,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Не забезпечує,"Тепла не вистачаює, дуже холодно ( І комп'ютерних класів замало.",Так,Скоріше задоволений,Ні,"На підприємстві, знайшов університет",Дійсно проходив практику,Ні,"Треба більше компаній, які б надавав кпі на вибір для проходження практики, у різних галузях.","Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",4.0,Репетитор математики,Освіта,До 20,Репетитор,Люблю КПІ ),По характеристиці викладачів неповний набір характеристик. Додайте варіант Інше
17,27.02.2017 1:29:19,,"Не відповідає, сумнів викликає актуальність предметів та компетентність викладачів",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,"Чимось задоволений, чимось ні","Мені байдуже, не цікавлюся науковою діяльністю",Частково забезпечує,"Для початку, хоча б опалення в корпусах...",Так,,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Важко відповісти,"Вирішення дійсно актуальних проблем, зацікавленості факультету в влаштуванні студентів",Так,Ні,,,,,,Тримайтесь!,"Більш різноманітні варіанти відповідей, описувати довго...але цікаві варіанти про практику, в тому б дусі й про інше)"
18,27.02.2017 1:31:32,,,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,,Ні,,,,,,,Так,"Так, не за спеціальністю",2.0,,Торгівля,До 20,,,
19,27.02.2017 1:35:42,Вважаю найкащим технічним вузом країни.,"На жаль,  часто не відповідає.",Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Повністю забезпечує,,Так,Скоріше задоволений,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Так,,Так,"Так, за спеціальністю",3.0,SoftServe,IT,Більше 800,Software engineer,"Не присвячуйте своє життя формошльопству,  розвивайтесь і старайтесь отримати максимум знань від університету.",
20,27.02.2017 1:39:21,,Ні,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,"Мені байдуже, не цікавлюся науковою діяльністю",Частково забезпечує,,Так,,Ні,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Ні,,"Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",4.0,,IT,81-200,Junior Developer,,
21,27.02.2017 1:39:46,Магістратура після бакалаврату кпі,Ні,Одразу вступив до КПІ,,Знання для використання на роботі,Важко відповісти,Повністю задоволений,"Чимось задоволений, чимось ні",Скоріше не влаштовує,Частково забезпечує,"обладнання, яке використовують у галузі, витратні матеріали.",Так,Скоріше задоволений,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Так,,Так,"Так, за спеціальністю",6.0,,Дизайн,21-80,,,
22,27.02.2017 1:40:12,,,Одразу вступив до КПІ,,Знання для використання на роботі,Важко відповісти,"Чимось задоволений, чимось ні",Скоріше незадоволений,Повністю не влаштовує,Частково забезпечує,,Так,Повністю задоволений,Так,"На підприємстві, знайшов університет","На практиці писав диплом, як звіт здав розділ диплому",Так,,Так,Ні,,,,,,,
23,27.02.2017 1:40:25,"Мав надію отримати знання, які допоможуть на майбутній роботі.",,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Повністю задоволений,"Щось влаштовує, щось ні",Частково забезпечує,,Ні,,,,,,,Так,Ні,,,,,,,
24,27.02.2017 1:45:37,Порадили друзі,Так,Одразу вступив до КПІ,,Відстрочку від армії,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,Повністю не влаштовує,Частково забезпечує,,Так,Важко відповісти,Так,"На кафедрі, писав диплом","Не проходив практику, в кінці написав звіт",Ні,,Так,"Так, за спеціальністю",3.0,Ring,IT,201-800,machine learning software engineer,,
25,27.02.2017 1:49:04,Найпотужніша студентська спільнота,Не завжди,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Повністю забезпечує,,Ні,,,,,,,Так,"Так, за спеціальністю",2.0,,IT,21-80,Програміст,,
26,27.02.2017 1:57:43,Класна назва. Була.,"Зовсім ні. Але, можливо, я просто не маю з чим порівняти.",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,"Чимось задоволений, чимось ні",Повністю не влаштовує,Частково забезпечує,"Витратних матеріалів, або хоча б можливості здавати лаби в електронному форматі. Це логічний мінімум.",Так,Скоріше задоволений,Так,"На кафедрі, не писав диплом",Дійсно проходив практику,Важко відповісти,Бажання викладачів робити свою роботу і не морозитись від студентів.,"Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",3.0,,IT,До 20,,я ні в шо не вірю і ні на що не надіюсь,"Треба більше негативних варіантів для оцінки викладачів. Є особистості, які лише відчитують лекції, не схильні до хабарництва і неконфліктні, та разом з тим цілком байдужі до студентів."
27,27.02.2017 2:01:16,"""Тут готють кращих спеціалістів і майбутнє країни"". Насправді звичайна шарага.",Ні,Одразу вступив до КПІ,,Знання для використання на роботі,Не навчатися в ВНЗ,Повністю задоволений,Скоріше незадоволений,"Мені байдуже, не цікавлюся науковою діяльністю",Не забезпечує,"Всього, що потрібно для проведення занять (нормальних аудиторій, де буде тепло, стільці не псуватимуть одяг, дошку буде видно навіть з останньої парти в сонячний день). Всього для практичних занять.",Ні,,,,,,,Ні,"Так, не за спеціальністю",2.0,Фріланс,IT,Більше 800,Фріланс,Краще не йдіть. Вища освіта в Україні - сміття.,"Додав би йому хоч якогось сенсу. Нажалітись я можу і вк, цього там досить. Кому потрібні ці прикольні інфографіки? Абітура їм всеодно не вірить. Думають, що вони то будуть іншими - вчитимуться, а пагане пишуть тільки ледарі (ну їм так батьки сказали)."
28,27.02.2017 2:05:35,Вважав найкращим варіантом для здобуття технічної освіти в Києві.,"Багато нецікавих чи непотрібних предметів, на які доводиться витрачати набагато більше часу, ніж на ті, які дійсно важливі для подальшого працевлаштування.",Одразу вступив до КПІ,,Знання для використання на роботі,Навчатися в іншому ВНЗ,Скоріше задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Не забезпечує,"Не вистачає аудиторій з проектором. Викладачам доводиться писати код на дошці крейдою.
Проблеми з wi-fi в корпусах, недостатньо розеток.",Ні,,,,,,,Так,Ні,,,,,,,
29,27.02.2017 2:09:09,,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,,Так,Повністю задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Так,"Так, за спеціальністю",3.0,,IT,21-80,,,
30,27.02.2017 2:09:20,,,Одразу вступив до КПІ,,Знання для використання на роботі,Важко відповісти,Повністю задоволений,Скоріше задоволений,Скоріше не влаштовує,Частково забезпечує,,Ні,,,,,,,Так,Ні,,,,,,,
31,27.02.2017 2:15:51,Всі колись помиляються:),ні,Одразу вступив до КПІ,,Знання для використання на роботі,Навчатися в іншому ВНЗ,Скоріше задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Не забезпечує,,Так,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Ні,Сучасне обладнання та методи,Ні,"Так, не за спеціальністю",4.0,,Сфера обслуговування,21-80,,"Головне, щоб викладачі були зацікавлені знаходити та поширювати новий матеріал між студентами, керівництво сприяти цьому в плані навчальних програм, а студенти, щоб бажали вчитися по спеціальності так цікавитися нею.
Якщо хоча б одна ланка не буде відповідати такій суб'єктивній думці, що освіта, що наука, буде погіршуватися, як на мене, а зацікавленість буде безмежно падати, а це найгірше)
Всім КПІ)",
32,27.02.2017 2:19:24,"Мріяв навчатися лише тут
Інших закладів не розглядав у пріоритеті",Навчальний процес відповідає очікуванням. Компетентність викладачів... якщо брати відносно то задавільна,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,Якось більше щоб заохочували до навчання,Ні,,,,,,,Так,"Так, не за спеціальністю",1.0,Як вийде,ЗМІ,До 20,Промоутер,Привіт всім випускникам кпі. А від викладачів хотілося б більшого..,Нічого. Доволі гарне опитування
33,27.02.2017 2:21:13,,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,"Чимось задоволений, чимось ні",Важко відповісти,Не забезпечує,,Так,"Чимось задоволений, чимось ні",Ні,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Ні,,Так,"Так, за спеціальністю",4.0,,Телекомунікації,21-80,,,
34,27.02.2017 2:24:09,ДЦП,Такое,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,Степушка,Ні,,,,,,,Так,Ні,,,,,,Пріффкі,Тарас царь
35,27.02.2017 2:24:54,,ні,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,"Придатних до життя  журтожитків , та програмне забезпеченнядля роботи на заняттях",Так,Повністю задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Так,"Так, за спеціальністю",4.0,,Виробництво,21-80,,,
36,27.02.2017 2:29:23,"Думала, що ""найкращий технічний внз України""",Ні,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,"Чимось задоволений, чимось ні","Мені байдуже, не цікавлюся науковою діяльністю",Не забезпечує,Нормальних аудиторій з опаленням (якщо це рахується),Так,,Ні,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Ні,"Її ж відмінили, нащо вже щось змінювати?",Так,Ні,,,,,,,"Коли велося опитування про предмети, то повторювалися лекції і практики з одного предмету, але з різними викладачами, притому питання типу ""чи достатньо було практичних завдань"" ставилися і до лектора, і до практика
А також можна розширити перелік якостей викладачів (особливо негативних)"
37,27.02.2017 2:30:34,Проходные баллы самые высокие,Все устарело 20 лет назад,Одразу вступив до КПІ,,Знання для використання на роботі,Не навчатися в ВНЗ,Повністю задоволений,Скоріше незадоволений,"Мені байдуже, не цікавлюся науковою діяльністю",Не забезпечує,"Теплые аудитории, современное оборудование для лабораторных работ, а не то, которое 20 лет назад списали, ибо оно тогда уже устарело",Так,Важко відповісти,Ні,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Ні,"Ничего, это пережиток прошлого",Так,"Так, за спеціальністю",3.0,Leale Solutions,IT,До 20,.Net Developer,,
38,27.02.2017 2:33:47,,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,"Мені байдуже, не цікавлюся науковою діяльністю",Частково забезпечує,,Ні,,,,,,,Так,Ні,,,,,,,
39,27.02.2017 2:35:36,Мріяла тут навчатися,ні,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,,Так,"Чимось задоволений, чимось ні",Так,"На кафедрі, не писав диплом","Не проходив практику, в кінці написав звіт",Ні,,Так,Ні,,,,,,,
40,27.02.2017 2:35:40,Мечтал о нем еще со школы,Нет,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою",Не навчатися в ВНЗ,Повністю задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Не забезпечує,,Ні,,,,,,,Так,"Так, за спеціальністю",3.0,Doctora.ua,Медицина,21-80,PHP engineer,,
41,27.02.2017 2:35:42,,ніі,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,,Ні,,,,,,,Ні,Ні,,,,,,,
42,27.02.2017 2:35:51,"Тому що це ""найкращий"" технічний вуз України. Вірив, що тут можна отримати якісну освіту і не треба їхати закордон.",Ні,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,Повністю не влаштовує,Частково забезпечує,"Багато писати...одним словом сучасного обладнання, а не застарілого радянськогою",Ні,,,,,,,Так,"Так, за спеціальністю",3.0,,IT,81-200,Стажер,Привіт Губарю В'ячеславу Григоровичу!,Щоб питання не повторювалися.
43,27.02.2017 2:36:33,Найкращий технічний ВУЗ,,Одразу вступив до КПІ,,Диплом - формальне підтвердження знань,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Повністю забезпечує,,Так,"Чимось задоволений, чимось ні",Ні,"На кафедрі, не писав диплом","Не проходив практику, в кінці написав звіт",Ні,,Так,"Так, за спеціальністю",5.0,Luxoft,IT,Більше 800,developer,,
44,27.02.2017 2:40:44,"На самом деле так случайно вышло, но я доволен",Нет,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою",Важко відповісти,"Чимось задоволений, чимось ні",Скоріше задоволений,"Щось влаштовує, щось ні",Повністю забезпечує,,Так,,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Ні,Не заставлял бы отчитываться мне раз в неделю,Так,"Так, за спеціальністю",1.0,Pifor,IT,До 20,Директор,Желаю терять как можно меньше времени.,"Сделал бы его короче, так как слишком много однотипных вопросов, которые так и заставляют закрыть страничку браузера."
45,27.02.2017 2:41:12,Хотів стати гарним спеціалістом і отримати гарні знання,Ні,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою",Не навчатися в ВНЗ,Важко відповісти,Важко відповісти,Скоріше не влаштовує,Не забезпечує,,Так,,Так,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Ні,"Зробив би її раніше, бо на час практики мав більше ніж рік досвіду роботи",Так,"Так, за спеціальністю",2.0,Developex,IT,81-200,.NET Developer,,
46,27.02.2017 2:41:21,,,Одразу вступив до КПІ,,Диплом - формальне підтвердження знань,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,"Нові знання, нові технології, молоді викладачі",Ні,,,,,,,Так,"Так, за спеціальністю",3.0,,IT,До 20,,Все буде добре. Наші люди всюди,
47,27.02.2017 2:45:32,"Провідний ВНЗ країни, а значить висока якість освіти, а значить, що тут працюють люди, зацікавлені у високому рівні організації учбового процесу, та навчаються небайдужі студенти .",приблизно на 80% відповідає,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,"Комфортних аудиторій,  вай фай ( не для соц. мереж, а дійсно для навч. процесу) , у деяких комп. класах - сучасних моніторів.",Ні,,,,,,,Так,Ні,,,,,,"Я дуже рада, що за 1,5 роки навчання було більше класних викладачів, ніж тих, до яких не хотілося йти на пару. Щодо перших - дуже вам дякую за отримані знання ( p.s. і деяким викладачам дякую за інформативні сторінки в соц.мережах - це дійсно актуально зараз), а щодо останніх - хотілося б, щоб ви більше були зацікавлені в продуктивності проведення пар і більше враховували побажання студентів.",Зробити більше варіантів відповідей в питанні * Характеристика викладача*
48,27.02.2017 2:49:12,,,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся","Чимось задоволений, чимось ні",Скоріше задоволений,Повністю не влаштовує,Не забезпечує,"Ліцензійне ПО не надається; сучасних книг не має; інтернет якщо і є, то повільний.",Ні,,,,,,,Так,"Так, не за спеціальністю",1.0,,Наука,До 20,,"Дякую за безсонні ночі в пошуках матеріалів, що ви маєте дати.",
49,27.02.2017 2:49:15,Рандом,ні,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком","Чимось задоволений, чимось ні",Скоріше задоволений,"Щось влаштовує, щось ні",Не забезпечує,"Хотілося б, щоб аудиторії хоча б опалювалися...",Ні,,,,,,,"Ні, але планую працювати в тій самій галузі","Так, за спеціальністю",2.0,,IT,81-200,,"Привіт, мама, я в телевізорі!",
