На якому факультеті КПІ ви викладаєте?,На скількох факультетах ви викладаєте на постійній основі?,Які дисципліни ви викладаєте?,Кількість ваших пар на тиждень в попередньому семестрі,Чи працюєте ви ще десь крім викладання в КПІ? (неоплачувана робота теж рахується),"Чи задоволені ви навчальними планами та іншими рекомендаціями від Міністерства освіти для дисциплін, які викладаєте?","Чи влаштовує вас рівень бюрократії, з яким ви стикаєтеся під час роботи?",Що ваші студенти хочуть отримати від навчання?,"Кількість дисциплін, які ви викладали в попередньому семестрі",faculty_id,"Чи забезпечує вас кафедра (факультет), де ви працюєте, всім необхідним для роботи? ",Чи влаштовує вас рівень наукової діяльності в межах КПІ?,На якій кафедрі ви працюєте?,Як часто ви готуєтеся до проведення навчальних занять?,Чи задоволені ви роботою в КПІ?,"Як ви підвищуєте знання з дисциплін, які викладаєте?",Чи задоволені ви спілкуванням зі своїми студентами?,Скільки років ви викладаєте?
12,1,базові дисципліни молодших курсів,до 4,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",2-3,12,Частково забезпечує,Влаштовує,ТОР,Завжди,Повністю задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Читаю фахові видання",Повністю задоволений,9
7,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 7,Ні,Складно відповісти,Складно відповісти,"знання для того, щоб займатися наукою, знання для використання на роботі",2-3,7,Повністю забезпечує,Складно відповісти,ІБ,Завжди,Повністю задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Читаю фахові видання",Повністю задоволений,2
23,1,спеціальні дисципліни,до 7,"Так, це має відношення до дисциплін, які я викладаю",Повністю не задоволений,Повністю не влаштовує,знання для використання на роботі,4-5,23,Повністю забезпечує,Повністю не влаштовує,ПЗКС,Часто,Складно відповісти,"Працюю в цій галузі, Читаю фахові видання",Задоволений,5
18,2-3,спеціальні дисципліни,до 7,"Так, це має відношення до дисциплін, які я викладаю",Повністю не задоволений,Повністю не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",2-3,18,Частково забезпечує,Не влаштовує,ФБМЕ,Завжди,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,11
20,1,дисципліни гуманітарного циклу,до 13,"Так, це має відношення до дисциплін, які я викладаю",Повністю не задоволений,Повністю не влаштовує,знання для використання на роботі,4-5,20,Складно відповісти,Повністю не влаштовує,КАМГС 3,Завжди,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач",Повністю задоволений,1
20,1,дисципліни гуманітарного циклу,до 13,"Так, це має відношення до дисциплін, які я викладаю",Повністю не задоволений,Повністю не влаштовує,знання для використання на роботі,4-5,20,Складно відповісти,Повністю не влаштовує,КАМГС 3,Завжди,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач",Повністю задоволений,1
11,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 7,Ні,Не задоволений,Повністю не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі",4-5,11,Частково забезпечує,Не влаштовує,,Завжди,Задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Читаю фахові видання",Задоволений,10
12,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 13,Ні,Складно відповісти,Складно відповісти,"знання для того, щоб займатися наукою, знання для використання на роботі, потрібні знання",2-3,12,Складно відповісти,Складно відповісти,РОС,Завжди,Повністю задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання, є власний сайт",Повністю задоволений,31
12,1,спеціальні дисципліни,до 7,Ні,Не задоволений,Повністю не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії",2-3,12,Повністю забезпечує,Не влаштовує,КіВРА,Часто,Задоволений,"Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,7
11,1,спеціальні дисципліни,до 4,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Повністю не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",2-3,11,Повністю забезпечує,Повністю не влаштовує,ПСНК,Завжди,Складно відповісти,"Займаюся позакласною роботою з колегами та/або студентами, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Читаю фахові видання",Задоволений,5
15,1,спеціальні дисципліни,до 4,"Так, але це не має відношення до дисциплін, які я викладаю",Складно відповісти,Складно відповісти,"знання для того, щоб займатися наукою, знання для використання на роботі, диплом - формальне підтвердження знань, можливість жити в гуртожитку",2-3,15,Повністю забезпечує,Влаштовує,БМІ,Завжди,Повністю задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Читаю фахові видання",Задоволений,2
15,1,спеціальні дисципліни,до 4,"Так, але це не має відношення до дисциплін, які я викладаю",Складно відповісти,Складно відповісти,"знання для того, щоб займатися наукою, знання для використання на роботі, диплом - формальне підтвердження знань, можливість жити в гуртожитку",2-3,15,Повністю забезпечує,Влаштовує,БМІ,Завжди,Повністю задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Читаю фахові видання",Задоволений,2
25,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 13,Ні,Не задоволений,Влаштовує,"знання для того, щоб займатися наукою",4-5,25,Повністю забезпечує,Влаштовує,ОХ,Завжди,Задоволений,"Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач",Повністю задоволений,6
18,1,дисципліни гуманітарного циклу,до 13,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Складно відповісти,диплом - формальне підтвердження знань,1,18,Складно відповісти,Не влаштовує,,Завжди,Складно відповісти,"Працюю в цій галузі, Читаю фахові видання",Задоволений,1
11,2-3,спеціальні дисципліни,до 7,Ні,Не задоволений,Повністю не влаштовує,"диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",2-3,11,Не забезпечує,Не влаштовує,,Часто,Не задоволений,"Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,9
12,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 7,Ні,Задоволений,Складно відповісти,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",2-3,12,Повністю забезпечує,Складно відповісти,,Завжди,Повністю задоволений,"Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,3
15,1,базові дисципліни молодших курсів,до 4,"Так, але це не має відношення до дисциплін, які я викладаю",Складно відповісти,Не влаштовує,диплом - формальне підтвердження знань,2-3,15,Повністю забезпечує,Влаштовує,БМІ,Завжди,Задоволений,Займаюся позакласною роботою з колегами та/або студентами,Повністю задоволений,2
20,1,дисципліни гуманітарного циклу,до 13,Ні,Задоволений,Влаштовує,диплом - формальне підтвердження знань,1,20,Частково забезпечує,Влаштовує,КАМТС 1,Завжди,Задоволений,Пишу статі та інші матеріали,Задоволений,1
7,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 13,Ні,Складно відповісти,Не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі, відсрочку від армії",6 і більше,7,Частково забезпечує,Складно відповісти,ММЗІ,Завжди,Задоволений,"Працюю в цій галузі, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,9
4,1,спеціальні дисципліни,до 4,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Не влаштовує,"знання для використання на роботі, відсрочку від армії",2-3,4,Складно відповісти,Не влаштовує,ВС та Р,Завжди,Складно відповісти,"Працюю в цій галузі, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,8
24,2-3,базові дисципліни молодших курсів,до 7,Ні,Складно відповісти,Складно відповісти,знання для використання на роботі,1,24,Частково забезпечує,Влаштовує,НГІКГ,Завжди,Задоволений,"Доповідаю на семінарах, тренінгах та онлайн-курсах",Повністю задоволений,8
13,1,спеціальні дисципліни,до 7,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Повністю не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",4-5,13,Частково забезпечує,Не влаштовує,АТЕП,Завжди,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,2
23,1,базові дисципліни молодших курсів,до 7,"Так, але це не має відношення до дисциплін, які я викладаю",Не задоволений,Повністю не влаштовує,знання для використання на роботі,2-3,23,Частково забезпечує,Не влаштовує,ПМА,Завжди,Не задоволений,Читаю фахові видання,Задоволений,6
25,1,дисципліни гуманітарного циклу,до 13,"Так, це має відношення до дисциплін, які я викладаю",Повністю не задоволений,Повністю не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",2-3,25,Частково забезпечує,Складно відповісти,"ТНРтаЗХТ,ОХтаТОP,ТЕХВ,ХТКМ,ХТКС,КХТП,",Завжди,Складно відповісти,"Працюю в цій галузі, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали",Не задоволений,1
20,2-3,дисципліни гуманітарного циклу,до 13,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Повністю не влаштовує,"знання для використання на роботі, відсрочку від армії, можливість жити в гуртожитку",2-3,20,Частково забезпечує,Складно відповісти,АМТС#1,Завжди,Складно відповісти,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,7
20,2-3,дисципліни гуманітарного циклу,до 13,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Повністю не влаштовує,"знання для використання на роботі, відсрочку від армії, можливість жити в гуртожитку",2-3,20,Частково забезпечує,Складно відповісти,АМТС#1,Завжди,Складно відповісти,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,7
15,1,спеціальні дисципліни,до 7,Ні,Складно відповісти,Влаштовує,знання для використання на роботі,2-3,15,Частково забезпечує,Влаштовує,БМК,Завжди,Повністю задоволений,Займаюся позакласною роботою з колегами та/або студентами,Повністю задоволений,8
20,1,дисципліни гуманітарного циклу,до 13,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Повністю не влаштовує,знання для використання на роботі,6 і більше,20,Не забезпечує,Не влаштовує,АМТС №1,Складно відповісти,Складно відповісти,Читаю фахові видання,Повністю задоволений,5
2,1,спеціальні дисципліни,до 4,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Повністю влаштовує,знання для використання на роботі,1,2,Частково забезпечує,Складно відповісти,ммса,Завжди,Задоволений,Працюю в цій галузі,Повністю задоволений,5
24,2-3,"базові дисципліни молодших курсів, спеціальні дисципліни",до 13,Ні,Складно відповісти,Не влаштовує,"знання для використання на роботі, відсрочку від армії, можливість жити в гуртожитку",2-3,24,Повністю забезпечує,Влаштовує,Мф,Завжди,Задоволений,"Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,10
24,2-3,"базові дисципліни молодших курсів, спеціальні дисципліни",до 13,Ні,Складно відповісти,Не влаштовує,"знання для використання на роботі, відсрочку від армії, можливість жити в гуртожитку",2-3,24,Повністю забезпечує,Влаштовує,Мф,Завжди,Задоволений,"Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,10
24,1,базові дисципліни молодших курсів,до 7,Ні,Не задоволений,Повністю не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",2-3,24,Не забезпечує,Повністю не влаштовує,,Завжди,Складно відповісти,"Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,2
24,1,базові дисципліни молодших курсів,до 7,Ні,Не задоволений,Повністю не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",2-3,24,Не забезпечує,Повністю не влаштовує,,Завжди,Складно відповісти,"Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,2
2,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 4,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",2-3,2,Частково забезпечує,Влаштовує,ММСА,Завжди,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Складно відповісти,5
18,1,спеціальні дисципліни,до 4,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Повністю не влаштовує,"диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",1,18,Повністю забезпечує,Не влаштовує,КЕОА,Інколи,Складно відповісти,"Працюю в цій галузі, Читаю фахові видання",Задоволений,1
3,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 4,Ні,Задоволений,Влаштовує,знання для використання на роботі,2-3,3,Повністю забезпечує,Влаштовує,ТК,Завжди,Задоволений,"Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Читаю фахові видання",Задоволений,8
10,1,спеціальні дисципліни,до 7,Ні,Складно відповісти,Складно відповісти,"знання для того, щоб займатися наукою, знання для використання на роботі",2-3,10,Повністю забезпечує,Повністю влаштовує,,Часто,Повністю задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,8
20,1,спеціальні дисципліни,до 13,Ні,Складно відповісти,Не влаштовує,знання для використання на роботі,2-3,20,Частково забезпечує,Складно відповісти,ТППАМ,Часто,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,8
12,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 7,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Повністю не влаштовує,"диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",2-3,12,Не забезпечує,Не влаштовує,КіВРА,Завжди,Складно відповісти,Займаюся позакласною роботою з колегами та/або студентами,Складно відповісти,2
20,1,дисципліни гуманітарного циклу,до 13,Ні,Задоволений,Влаштовує,знання для використання на роботі,1,20,Складно відповісти,Повністю влаштовує,,Інколи,Повністю задоволений,Працюю в цій галузі,Задоволений,12
14,1,спеціальні дисципліни,до 7,"Так, це має відношення до дисциплін, які я викладаю",Задоволений,Повністю не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі",2-3,14,Не забезпечує,Повністю не влаштовує,пскла,Часто,Складно відповісти,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,2
20,4-5,дисципліни гуманітарного циклу,до 7,Ні,Не задоволений,Повністю не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії",2-3,20,Частково забезпечує,Не влаштовує,КУМЛК,Завжди,Задоволений,"Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,4
25,2-3,базові дисципліни молодших курсів,до 4,Ні,Не задоволений,Повністю не влаштовує,диплом - формальне підтвердження знань,1,25,Складно відповісти,Складно відповісти,,Завжди,Складно відповісти,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Читаю фахові видання",Складно відповісти,7
3,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 4,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Повністю не влаштовує,знання для використання на роботі,1,3,Частково забезпечує,Влаштовує,,Завжди,Задоволений,"Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,6
20,2-3,дисципліни гуманітарного циклу,до 13,Ні,Задоволений,Складно відповісти,"знання для того, щоб займатися наукою, знання для використання на роботі",2-3,20,Повністю забезпечує,Не влаштовує,,Завжди,Задоволений,"Працюю в цій галузі, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,10
3,1,спеціальні дисципліни,до 7,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Повністю не влаштовує,"диплом - формальне підтвердження знань, відсрочку від армії",2-3,3,Не забезпечує,Не влаштовує,,Завжди,Задоволений,Працюю в цій галузі,Складно відповісти,18
3,1,базові дисципліни молодших курсів,до 7,"Так, це має відношення до дисциплін, які я викладаю",Повністю не задоволений,Повністю не влаштовує,"диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",1,3,Не забезпечує,Повністю не влаштовує,ТК,Завжди,Не задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Складно відповісти,4
21,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 13,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії",6 і більше,21,Частково забезпечує,Не влаштовує,ММЕС,Завжди,Задоволений,"Працюю в цій галузі, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,4
14,1,спеціальні дисципліни,до 13,"Так, це має відношення до дисциплін, які я викладаю",Повністю не задоволений,Повністю не влаштовує,знання для використання на роботі,2-3,14,Не забезпечує,Складно відповісти,Івт,Завжди,Складно відповісти,Працюю в цій галузі,Задоволений,7
6,2-3,спеціальні дисципліни,до 7,Ні,Не задоволений,Складно відповісти,"знання для того, щоб займатися наукою, знання для використання на роботі, диплом - формальне підтвердження знань",2-3,6,Частково забезпечує,Повністю влаштовує,,Завжди,Повністю задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,2
2,1,базові дисципліни молодших курсів,до 13,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, можливість жити в гуртожитку",2-3,2,Частково забезпечує,Не влаштовує,ММСА,Завжди,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Читаю фахові видання",Задоволений,2
19,1,спеціальні дисципліни,до 13,"Так, але це не має відношення до дисциплін, які я викладаю",Складно відповісти,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",6 і більше,19,Частково забезпечує,Складно відповісти,АУТС,Рідко,Задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Пишу статі та інші матеріали",Задоволений,4
8,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 4,Ні,Повністю не задоволений,Не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі, відсрочку від армії",2-3,8,Частково забезпечує,Не влаштовує,ЕЗУ,Завжди,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Читаю фахові видання",Задоволений,26
5,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 13,Ні,Не задоволений,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",4-5,5,Повністю забезпечує,Складно відповісти,,Часто,Задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Пишу статі та інші матеріали",Задоволений,16
4,1,спеціальні дисципліни,до 7,Ні,Задоволений,Не влаштовує,знання для використання на роботі,4-5,4,Не забезпечує,Не влаштовує,,Завжди,Задоволений,Читаю фахові видання,Повністю задоволений,11
2,1,базові дисципліни молодших курсів,до 7,"Так, це має відношення до дисциплін, які я викладаю",Повністю не задоволений,Не влаштовує,відсрочку від армії,1,2,Не забезпечує,Повністю не влаштовує,ММСА,Не готуюся,Повністю не задоволений,Не вдосконалюю рівень своїх знань,Повністю не задоволений,18
21,1,спеціальні дисципліни,до 4,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі",2-3,21,Не забезпечує,Повністю не влаштовує,"працювала на ММЕС/ФММ, зараз ММСА/ІПСА",Завжди,Не задоволений,"Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,5
13,1,спеціальні дисципліни,до 4,"Так, але це не має відношення до дисциплін, які я викладаю",Складно відповісти,Не влаштовує,диплом - формальне підтвердження знань,1,13,Частково забезпечує,Влаштовує,,Завжди,Повністю задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Пишу статі та інші матеріали, Читаю фахові видання",Складно відповісти,5
